title,company,location,contract
کارشناس پشتیبانی فنی هاستینگ,فناوران شبکه سینداد | Sindad,تهران، تهران,قرارداد تماموقت  
گرافیست و طراح UI وب سایت (بابلسر),باشگاه سازندگان و تولید کنندگان ساختمان | Sazandegan Club,مازندران، بابلسر,قرارداد پارهوقت  
کارشناس نرم افزار (واحد فناوری اطلاعات),موسسه رده بندی ایرانیان | Iranian Classification Society,تهران، تهران,قرارداد تماموقت  
توسعهدهنده وبسایت وردپرسی ( WordPress Developer-همدان),افدل | Afdal,همدان، همدان,قرارداد تماموقت  
کارشناس نرم افزار (واحد فناوری اطلاعات),موسسه رده بندی ایرانیان | Iranian Classification Society,تهران، تهران,قرارداد تماموقت  
کارشناس گزارش ساز,فناوران اطلاعات خبره | Fanavaran,تهران، تهران,قرارداد تماموقت  
توسعهدهنده Back-End (اصفهان),رادشید | Radshid,اصفهان، اصفهان,قرارداد تماموقت  
QA Test Engineer,اگزا | Exa DataScience Lab,تهران، تهران,قرارداد تماموقت  
کارشناس استقرار و پشتیبانی سیستمها,ایده گستر پوریا | Ideh Gostar Pourya,تهران، تهران,قرارداد تماموقت  
مهندس هوش مصنوعی (AI Engineer),دکتر فیلر | Dr Filler,تهران، تهران,قرارداد تماموقت  
پیادهساز و پشتیبان نرمافزار سازمانی اودو (ERP-Odoo),مصاب پویا | Mosab Pooya,تهران، تهران,قرارداد تماموقت  
برنامهنویس (Front-End (Vue.Js,توسعه زیرساخت مانامهام | Mana Maham,تهران، تهران,قرارداد تماموقت  
برنامهنویس جاوا (Back-End),هلدینگ فناوری نوآوری آراد | Arad Innovation Technology Holding,تهران، تهران,قرارداد تماموقت  
Engineer Prompt,الو پرستار | Markaze Parastari,تهران، تهران,قرارداد تماموقت  
برنامهنویس Net Core. (مشهد),بی همتا تجارت مدرن | Bihamta Tejarat Modern,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس C#.Net,گستره نگار | GNCO,تهران، تهران,قرارداد تماموقت  
برنامهنویس وب (Net.),سباسیستم | Saba System,تهران، تهران,قرارداد تماموقت  
برنامهنویس دلفی,گروه مهندسی آی کن | ICAN,تهران، تهران,قرارداد تماموقت  
Full-Stack Developer,گروه مهندسی آی کن | ICAN,تهران، تهران,قرارداد تماموقت  
کارشناس استقرار و پشتیبانی اتوماسیون (استاندارد-BPMS),گروه مهندسی آی کن | ICAN,تهران، تهران,قرارداد تماموقت  
Senior Full-Stack Developer,یار | Yar,تهران، تهران,قرارداد تماموقت  
